experiment_type,run_number,generations,best_score,generation_found,run_time_ms
baseline,0,250,9999940036,60,12291
baseline,1,250,9999940357,117,12002
baseline,2,250,9999940041,88,11973
baseline,3,250,9999940417,128,12049
baseline,4,250,9999940465,84,11969
baseline,5,250,9999940456,94,12000
baseline,6,250,9999940305,87,12027
baseline,7,250,9999940267,47,12072
baseline,8,250,9999940032,80,12041
baseline,9,250,9999940049,92,11979
baseline,10,250,9999940391,74,12012
baseline,11,250,9999940289,74,11981
baseline,12,250,9999940154,59,12044
baseline,13,250,9999940179,62,12013
baseline,14,250,9999940250,84,12032
baseline,15,250,9999940346,47,12100
baseline,16,250,9999940186,108,11968
baseline,17,250,9999940063,109,11974
baseline,18,250,9999940016,83,11943
baseline,19,250,9999940447,89,11968
baseline,20,250,9999940269,55,12027
baseline,21,250,9999940193,71,11954
baseline,22,250,9999940023,75,12135
baseline,23,250,9999940291,75,12441
baseline,24,250,9999939988,116,12124
baseline,25,250,9999940146,53,11962
baseline,26,250,9999940520,79,12001
baseline,27,250,9999940046,64,11947
baseline,28,250,9999940114,84,11970
baseline,29,250,9999940732,103,11975
baseline,30,250,9999940314,69,11957
baseline,31,250,9999940111,130,11965
baseline,32,250,9999940398,50,11976
baseline,33,250,9999940157,75,12025
baseline,34,250,9999940200,46,12295
baseline,35,250,9999940377,82,12377
baseline,36,250,9999940235,92,12059
baseline,37,250,9999940495,69,11904
baseline,38,250,9999940286,69,11955
baseline,39,250,9999940149,60,12043
baseline,40,250,9999940208,108,12010
baseline,41,250,9999940272,69,12074
baseline,42,250,9999940207,68,12144
baseline,43,250,9999940285,53,12015
baseline,44,250,9999940261,82,11979
baseline,45,250,9999939904,89,11989
baseline,46,250,9999940222,87,11988
baseline,47,250,9999940320,60,11963
baseline,48,250,9999939945,61,12213
baseline,49,250,9999940459,57,12046
incremental,0,10,9997470012,8,1181
incremental,1,10,9997469617,8,1175
incremental,2,10,9997469588,0,1179
incremental,3,10,9996469703,10,1184
incremental,4,10,9997469754,10,1185
incremental,5,10,9999469848,9,1200
